Name,Age,Mobile_Number,Password,Occupation,Location,Daily_Usage_GB,Daily_Usage_MB,Data_Limit_GB,Device_Type,Monthly_Usage_GB,Network_Package,Package_Cost,Preferred_Network,SIM_Type
 Sherif,24,8321371910, Sher@782,IT sector,Villupuram,4.29,4392.96,1,Tablet,128.7,Standard Plan,199,5G,BSNL
Toni Jebasto,41,7550172586,Toni@821,Other Professionals,Pudukkottai,0.55,563.2,1.5,Tablet,16.5,Basic+ Calls,299,4G,Airtel
Nitheesh,27,8808325710,Nith_838,Doctor,Tirunelveli,1.03,1054.72,2.5,Television,30.9,Entertainment+ Data,499,4G,VI
Rishikesh,26,9279039994,Rish#387,Teacher,Perambalur,3.85,3942.4,2.5,Smartphone,115.5,Entertainment+ Data,499,5G,VI
Rahul,68,6913126492,Rahul_459,IT sector,Vellore,2.62,2682.88,1,Television,78.6,Standard Plan,199,5G,BSNL
Roy,41,8249301029,RoyII257,Retiree,Karur,2.66,2723.84,1.5,Laptop,79.8,Basic+ Calls,299,5G,Airtel
Alex ,28,8488241836,Alex_218,Student,Nagapattinam,1.03,1054.72,1.5,Television,30.9,Basic+ Calls,299,4G,Airtel
Morgan Prissila,56,7233341897,Morga#826,Unemployed,Sivagangai,4.73,4843.52,1.5,Smartphone,141.9,Basic+ Calls,299,4G,Airtel
Jordan ,63,8773658607,Jorda_819,Teacher,Theni,0.96,983.04,1.5,Smartphone,28.8,Basic+ Calls,299,4G,Airtel
Jebasto,64,6731698061,Jebas_512,Other Professionals,Tiruchirappalli,1.35,1382.4,1,Tablet,40.5,Standard Plan,199,5G,BSNL
Rex Morgan,51,7664991901,RexM#954,Freelancer,Kanchipuram,4.79,4904.96,1,Smartphone,143.7,Standard Plan,199,4G,BSNL
Meiamudan,30,8142398813,Meiam_335,Freelancer,Theni,0.34,348.16,1.5,Laptop,10.2,Basic+ Calls,299,4G,Airtel
Rocky,56,6173071399,Rocky_832,IT sector,Theni,3.56,3645.44,2.5,Television,106.8,Entertainment+ Data,499,5G,VI
Das,42,7540985080,DasII_992,Other Professionals,Coimbatore,3.48,3563.52,2.5,Laptop,104.4,Entertainment+ Data,499,5G,VI
Srinath,56,6875056264,Srina#176,Unemployed,Thoothukudi,4.88,4997.12,1,Laptop,146.4,Standard Plan,199,5G,BSNL
Sowthri,45,9316744588,Sowth@478,Teacher,Cuddalore,4.15,4249.6,2.5,Television,124.5,Entertainment+ Data,499,5G,VI
Jessi,39,9694693159,Jessi050,Unemployed,Thanjavur,1.88,1925.12,1,Tablet,56.4,Standard Plan,199,4G,BSNL
Deepika,37,7944792202,Deep#459,IT sector,Nagapattinam,1.63,1669.12,1,Tablet,48.9,Standard Plan,199,4G,BSNL
Manimegalai,41,6379293129,Manim#813,Student,Thiruvallur,4.61,4720.64,2,Television,138.3,Unlimited+ OTT,399,4G,Jio
Manimozhi,40,7663950598,Manim_999,Other Professionals,Krishnagiri,3.67,3758.08,1,Smartphone,110.1,Standard Plan,199,4G,BSNL
Shamili,59,7718740184,Shami@866,Retiree,Erode,0.44,450.56,2.5,Smartphone,13.2,Entertainment+ Data,499,5G,VI
Britto,43,7865712386,Britt#737,Freelancer,Salem,0.48,491.52,1.5,Smartphone,14.4,Basic+ Calls,299,4G,Airtel
Mynul,37,8288998127,Mynul@399,IT sector,Kanchipuram,1.2,1228.8,1.5,Smartphone,36,Basic+ Calls,299,4G,Airtel
Sneha,35,6739908158,Sneha@604,Unemployed,Kallakurichi,4.19,4290.56,2,Television,125.7,Unlimited+ OTT,399,5G,Jio
Das,29,9293302435,Dasxx@539,Teacher,Virudhunagar,2.43,2488.32,2.5,Tablet,72.9,Entertainment+ Data,499,5G,VI
Priya,18,9289631265,Priya@835,IT sector,Thanjavur,0.44,450.56,1,Smartphone,13.2,Standard Plan,199,4G,BSNL
Shalini,32,6633380353,Shali@607,Teacher,Virudhunagar,2.98,3051.52,1.5,Television,89.4,Basic+ Calls,299,4G,Airtel
Swetha,42,7208726372,Sweth@033,Other Professionals,Ramanathapuram,1.5,1536,1.5,Tablet,45,Basic+ Calls,299,5G,Airtel
Shadvik,34,8615765846,Shadv@333,IT sector,Nagapattinam,1.24,1269.76,2.5,Smartphone,37.2,Entertainment+ Data,499,5G,VI
Shamili,38,6673131110,Shami@765,IT sector,Karur,1.49,1525.76,1.5,Smartphone,44.7,Basic+ Calls,299,4G,Airtel
Sakthi,21,7912127285,Sakth@709,Student,Tiruvannamalai,0.77,788.48,2,Laptop,23.1,Unlimited+ OTT,399,4G,Jio
Shreya,59,7874804591,Shrey@914,Freelancer,Nagapattinam,4.92,5038.08,1.5,Television,147.6,Basic+ Calls,299,4G,Airtel
Devi,50,6959395252,Devif@863,Teacher,Theni,1.93,1976.32,2,Smartphone,57.9,Unlimited+ OTT,399,5G,Jio
Sarath,22,7342383109,Sarat@063,Freelancer,Dindigul,4.09,4188.16,1,Tablet,122.7,Standard Plan,199,5G,BSNL
Bharani,67,8177832010,Bhara@291,IT sector,Theni,4.45,4556.8,1.5,Tablet,133.5,Basic+ Calls,299,5G,Airtel
Kavin,58,7828100554,Kavin@237,Student,Vellore,3.83,3921.92,1,Laptop,114.9,Standard Plan,199,5G,BSNL
Tara,52,7620042153,Taraf@848,Student,Kanchipuram,4.96,5079.04,1,Television,148.8,Standard Plan,199,4G,BSNL
Nishi,55,9769273841,Nishi@887,Student,Cuddalore,2.28,2334.72,1.5,Tablet,68.4,Basic+ Calls,299,4G,Airtel
Vasanth,50,8657467443,Vasan@172,Freelancer,Krishnagiri,2.37,2426.88,1.5,Tablet,71.1,Basic+ Calls,299,5G,Airtel
Akash,65,9238843388,Akash@543,Other Professionals,Sivagangai,1.31,1341.44,1.5,Laptop,39.3,Basic+ Calls,299,4G,Airtel
Rishi,66,6371277270,Rishi@005,Doctor,Thiruvallur,4,4096,1.5,Television,120,Basic+ Calls,299,4G,Airtel
Prajeshnu,62,6644868870,Praje@587,Teacher,Karur,1.61,1648.64,1.5,Tablet,48.3,Basic+ Calls,299,5G,Airtel
Preshnev,50,9555518826,Presh@896,Doctor,Chennai,0.39,399.36,2.5,Smartphone,11.7,Entertainment+ Data,499,4G,VI
Susan,44,6403268241,Susan@059,Student,Virudhunagar,1.26,1290.24,1,Tablet,37.8,Standard Plan,199,5G,BSNL
Lath,37,8101983479,LathD@815,Unemployed,Thiruvarur,2.96,3031.04,2,Television,88.8,Unlimited+ OTT,399,4G,Jio
Mukil,25,8919132476,Mukil@867,Doctor,Namakkal,3.01,3082.24,2.5,Smartphone,90.3,Entertainment+ Data,499,4G,VI
Yeshwanth,60,7558099271,Yeshw@546,IT sector,Kallakurichi,3.95,4044.8,1.5,Television,118.5,Basic+ Calls,299,5G,Airtel
Bhava,20,7576332732,Bhava@906,Doctor,Dharmapuri,4.2,4300.8,1,Tablet,126,Standard Plan,199,4G,BSNL
Darshini,33,9193343105,Darsh@330,IT sector,Tiruchirappalli,2.37,2426.88,1,Laptop,71.1,Standard Plan,199,4G,BSNL
Shruthi,39,8699857129,Shrut@405,Student,Erode,1.13,1157.12,2,Laptop,33.9,Unlimited+ OTT,399,4G,Jio
Deepika,19,9972509437,Deepi@369,Freelancer,Coimbatore,2.98,3051.52,1.5,Laptop,89.4,Basic+ Calls,299,5G,Airtel
Jyo,64,8261588668,JyoII@907,Student,Kanchipuram,2.5,2560,1.5,Smartphone,75,Basic+ Calls,299,5G,Airtel
Desh,68,9717103841,DeshV@530,Doctor,Erode,4.45,4556.8,2,Television,133.5,Unlimited+ OTT,399,5G,Jio
Nithya,43,8857658184,Nithy@648,Teacher,Chennai,1.83,1873.92,2.5,Tablet,54.9,Entertainment+ Data,499,4G,VI
Tavisha,68,7982145490,Tavis@137,IT sector,Perambalur,4.62,4730.88,1.5,Television,138.6,Basic+ Calls,299,5G,Airtel
Harshi,31,8987595890,Harsh@255,Freelancer,Dindigul,1.71,1751.04,1,Television,51.3,Standard Plan,199,4G,BSNL
Arshea,40,7435273204,Arshe@058,Student,Erode,2.77,2836.48,1.5,Television,83.1,Basic+ Calls,299,5G,Airtel
Indhu,31,7444376832,Indhu@870,Teacher,Pudukkottai,1.72,1761.28,2.5,Tablet,51.6,Entertainment+ Data,499,5G,VI
Varsha,26,6444230436,Varsh@355,Unemployed,Thiruvarur,0.51,522.24,2,Smartphone,15.3,Unlimited+ OTT,399,4G,Jio
Resh,62,9469657424,ReshM@197,Teacher,Sivagangai,0.75,768,2,Laptop,22.5,Unlimited+ OTT,399,5G,Jio
Manuel,37,7717993057,Manue@446,IT sector,Nagapattinam,4.84,4956.16,2.5,Television,145.2,Entertainment+ Data,499,4G,VI
Varshini,31,9738723486,Varsh@883,Other Professionals,Kallakurichi,0.94,962.56,1,Smartphone,28.2,Standard Plan,199,4G,BSNL
Sai,45,9934803497,SaiTT@493,Doctor,Nagapattinam,3.63,3717.12,1,Smartphone,108.9,Standard Plan,199,5G,BSNL
Arevinth,26,6829446326,Arevi@346,Teacher,Thanjavur,1.8,1843.2,1,Television,54,Standard Plan,199,5G,BSNL
Chandru,27,8193091377,Chand@025,Teacher,Kallakurichi,3.68,3768.32,1.5,Tablet,110.4,Basic+ Calls,299,5G,Airtel
Uga,55,7211700348,Ugaoo@028,Other Professionals,Kanchipuram,4.22,4321.28,2.5,Tablet,126.6,Entertainment+ Data,499,4G,VI
Alsey,26,6591675918,Alsey@482,Freelancer,Tiruchirappalli,2.89,2959.36,2,Tablet,86.7,Unlimited+ OTT,399,5G,Jio
Hasmin,22,7691336763,Hasmi@439,Freelancer,Coimbatore,0.64,655.36,2.5,Smartphone,19.2,Entertainment+ Data,499,5G,VI
Jas,39,8391715120,JasRR@143,Teacher,Thiruvarur,2.65,2713.6,1,Smartphone,79.5,Standard Plan,199,5G,BSNL
Shayaan,47,9744626152,Shaya@999,Doctor,Kanchipuram,0.59,604.16,2.5,Smartphone,17.7,Entertainment+ Data,499,5G,VI
Rajesh,28,9753948773,Rajes@711,IT sector,Thiruvarur,3.35,3430.4,2,Laptop,100.5,Unlimited+ OTT,399,5G,Jio
Raj,60,9996901608,RajPP@431,Unemployed,Theni,4.37,4474.88,2.5,Tablet,131.1,Entertainment+ Data,499,4G,VI
Rajeshwari,65,8547606799,Rajes@751,Unemployed,Tiruvannamalai,4.39,4495.36,2.5,Laptop,131.7,Entertainment+ Data,499,5G,VI
Litheesh,49,8995850044,Lithe@057,Freelancer,Villupuram,0.67,686.08,2.5,Tablet,20.1,Entertainment+ Data,499,4G,VI
Archana,18,7844252944,Archa@508,Student,Cuddalore,4.22,4321.28,2,Television,126.6,Unlimited+ OTT,399,5G,Jio
Dhanush,40,6931320374,Dhanu@954,Teacher,Dindigul,0.99,1013.76,1.5,Television,29.7,Basic+ Calls,299,4G,Airtel
Jan,20,8992646668,Janoo@430,Unemployed,Coimbatore,0.4,409.6,2.5,Television,12,Entertainment+ Data,499,5G,VI
Janani,69,6785824689,Janan@595,Teacher,Chennai,0.47,481.28,2,Smartphone,14.1,Unlimited+ OTT,399,4G,Jio
Roshini,56,7443141414,Roshi@534,Doctor,Vellore,4.49,4597.76,1,Television,134.7,Standard Plan,199,5G,BSNL
Sowmya,54,9996921980,Sowmy@072,Other Professionals,Ramanathapuram,1.32,1351.68,1.5,Television,39.6,Basic+ Calls,299,4G,Airtel
Cassiya,58,8744400928,Cassi@015,Student,Chennai,0.98,1003.52,2,Laptop,29.4,Unlimited+ OTT,399,5G,Jio
Lakshitha,48,6907534335,Laksh@824,Doctor,Cuddalore,2.18,2232.32,1.5,Tablet,65.4,Basic+ Calls,299,5G,Airtel
Senthil,20,9864068169,Senth@926,Unemployed,Theni,1.07,1095.68,2,Television,32.1,Unlimited+ OTT,399,4G,Jio
Kumar,57,8842137294,Kumar@193,Student,Dindigul,1.65,1689.6,1,Smartphone,49.5,Standard Plan,199,5G,BSNL
Vatsan,34,9562061802,Vatsa@032,Freelancer,Thanjavur,0.43,440.32,1,Laptop,12.9,Standard Plan,199,5G,BSNL
Sai,65,6517578653,SaiLL@958,Teacher,Nagapattinam,4.54,4648.96,1.5,Smartphone,136.2,Basic+ Calls,299,4G,Airtel
Rahil,36,6116954512,Rahil@423,Retiree,Thanjavur,1.71,1751.04,2,Tablet,51.3,Unlimited+ OTT,399,4G,Jio
Josephine,56,8925322481,Josep@694,Retiree,Salem,3.6,3686.4,1,Smartphone,108,Standard Plan,199,5G,BSNL
Charu,46,8633114763,Charu@598,Doctor,Dindigul,1.24,1269.76,2,Television,37.2,Unlimited+ OTT,399,5G,Jio
Aishu,31,8777885993,Aishu@831,Student,Thiruvallur,1.61,1648.64,2.5,Tablet,48.3,Entertainment+ Data,499,4G,VI
Jebasto ,48,7356495315,Jebas@815,Other Professionals,Virudhunagar,2.81,2877.44,1,Smartphone,84.3,Standard Plan,199,4G,BSNL
Deekshana,64,9546285585,Deeks@669,Other Professionals,Karur,1.33,1361.92,2,Tablet,39.9,Unlimited+ OTT,399,4G,Jio
Jessi,63,9855798759,Jessi@010,IT sector,Sivagangai,4.33,4433.92,1,Tablet,129.9,Standard Plan,199,4G,BSNL
Jessica,28,9283617217,Jessi@682,Freelancer,Dindigul,3.29,3368.96,1,Tablet,98.7,Standard Plan,199,4G,BSNL
Tharun,70,7839698981,Tharu@299,Retiree,Theni,0.62,634.88,1.5,Tablet,18.6,Basic+ Calls,299,5G,Airtel
Joel,34,8480791281,Joelk@854,Retiree,Pudukkottai,4.72,4833.28,2,Laptop,141.6,Unlimited+ OTT,399,4G,Jio
Moni,23,9327437909,MoniM@617,Other Professionals,Ramanathapuram,3.39,3471.36,2.5,Television,101.7,Entertainment+ Data,499,4G,VI
Akshaya,33,7231119849,Aksha@507,Other Professionals,Sivagangai,3.7,3788.8,2.5,Smartphone,111,Entertainment+ Data,499,4G,VI
Divi,69,7745253839,DiviS@868,Freelancer,Nagapattinam,3.78,3870.72,1.5,Tablet,113.4,Basic+ Calls,299,5G,Airtel
Karthick,50,9277537645,Karth@853,Student,Vellore,3.72,3809.28,2.5,Tablet,111.6,Entertainment+ Data,499,5G,VI
Laksh,22,7457603069,Laksh@215,Teacher,Thiruvallur,1.85,1894.4,1.5,Television,55.5,Basic+ Calls,299,4G,Airtel
Yaazhini,38,6981760651,Yaazh@538,Student,Cuddalore,4.44,4546.56,1,Laptop,133.2,Standard Plan,199,5G,BSNL
